round,phase,source,metric,value
0,server_eval_initial,serverapp,accuracy,0.1014
0,server_eval_initial,serverapp,loss,2.3030201151401184
0,server_eval_initial,serverapp,poisoned_accuracy,0.0
0,server_eval_initial,serverapp,poisoned_loss,2.2965904180052745
0,server_eval_initial,serverapp,attack_success_rate,0.0
0,server_eval_initial,serverapp,poisoned_examples,1171
1,train_agg,clientapp,train_loss,1.9217609807789842
1,eval_agg,clientapp,eval_loss,2.302658954360869
1,eval_agg,clientapp,eval_acc,0.10654672663668167
1,server_eval,serverapp,accuracy,0.0987
1,server_eval,serverapp,loss,2.302150361145599
1,server_eval,serverapp,poisoned_accuracy,0.0
1,server_eval,serverapp,poisoned_loss,2.4138412960159994
1,server_eval,serverapp,attack_success_rate,0.0
1,server_eval,serverapp,poisoned_examples,1171
2,train_agg,clientapp,train_loss,1.8042316212202327
2,eval_agg,clientapp,eval_loss,2.165195921162488
2,eval_agg,clientapp,eval_acc,0.17651174412793605
2,server_eval,serverapp,accuracy,0.1799
2,server_eval,serverapp,loss,2.16229800936542
2,server_eval,serverapp,poisoned_accuracy,0.005977796754910333
2,server_eval,serverapp,poisoned_loss,2.5723677837981005
2,server_eval,serverapp,attack_success_rate,0.005655042412818096
2,server_eval,serverapp,poisoned_examples,1171
3,train_agg,clientapp,train_loss,1.6551182548623526
3,eval_agg,clientapp,eval_loss,1.936184147991038
3,eval_agg,clientapp,eval_acc,0.18280859570214894
3,server_eval,serverapp,accuracy,0.1823
3,server_eval,serverapp,loss,1.9344863303100006
3,server_eval,serverapp,poisoned_accuracy,0.3484201537147737
3,server_eval,serverapp,poisoned_loss,2.8311393218199274
3,server_eval,serverapp,attack_success_rate,0.30442978322337416
3,server_eval,serverapp,poisoned_examples,1171
4,train_agg,clientapp,train_loss,1.5792954185347614
4,eval_agg,clientapp,eval_loss,1.7978850245308031
4,eval_agg,clientapp,eval_acc,0.272263868065967
4,server_eval,serverapp,accuracy,0.2748
4,server_eval,serverapp,loss,1.7858475356162349
4,server_eval,serverapp,poisoned_accuracy,0.0008539709649871904
4,server_eval,serverapp,poisoned_loss,3.1218183844848943
4,server_eval,serverapp,attack_success_rate,0.000942507068803016
4,server_eval,serverapp,poisoned_examples,1171
5,train_agg,clientapp,train_loss,1.3989115239471177
5,eval_agg,clientapp,eval_loss,1.710526478330755
5,eval_agg,clientapp,eval_acc,0.33323338330834584
5,server_eval,serverapp,accuracy,0.329
5,server_eval,serverapp,loss,1.7018495933919013
5,server_eval,serverapp,poisoned_accuracy,0.0025619128949615714
5,server_eval,serverapp,poisoned_loss,2.972045910857255
5,server_eval,serverapp,attack_success_rate,0.002827521206409048
5,server_eval,serverapp,poisoned_examples,1171
6,train_agg,clientapp,train_loss,1.3595625626232104
6,eval_agg,clientapp,eval_loss,1.5878619747413407
6,eval_agg,clientapp,eval_acc,0.3552223888055972
6,server_eval,serverapp,accuracy,0.3648
6,server_eval,serverapp,loss,1.58034202267852
6,server_eval,serverapp,poisoned_accuracy,0.04867634500426986
6,server_eval,serverapp,poisoned_loss,3.5782075934080257
6,server_eval,serverapp,attack_success_rate,0.03204524033930255
6,server_eval,serverapp,poisoned_examples,1171
7,train_agg,clientapp,train_loss,1.285859259544033
7,eval_agg,clientapp,eval_loss,1.5453769018323777
7,eval_agg,clientapp,eval_acc,0.40679660169915044
7,server_eval,serverapp,accuracy,0.4139
7,server_eval,serverapp,loss,1.5366833255260806
7,server_eval,serverapp,poisoned_accuracy,0.08625106746370624
7,server_eval,serverapp,poisoned_loss,3.3444349494986203
7,server_eval,serverapp,attack_success_rate,0.0527803958529689
7,server_eval,serverapp,poisoned_examples,1171
8,train_agg,clientapp,train_loss,1.2463877970855406
8,eval_agg,clientapp,eval_loss,1.4013495016991757
8,eval_agg,clientapp,eval_acc,0.4623688155922039
8,server_eval,serverapp,accuracy,0.4628
8,server_eval,serverapp,loss,1.4037450823602797
8,server_eval,serverapp,poisoned_accuracy,0.05038428693424424
8,server_eval,serverapp,poisoned_loss,3.680439919920481
8,server_eval,serverapp,attack_success_rate,0.030160226201696512
8,server_eval,serverapp,poisoned_examples,1171
9,train_agg,clientapp,train_loss,1.1508384744270197
9,eval_agg,clientapp,eval_loss,1.3805124633762478
9,eval_agg,clientapp,eval_acc,0.4760619690154922
9,server_eval,serverapp,accuracy,0.4805
9,server_eval,serverapp,loss,1.3853966359850727
9,server_eval,serverapp,poisoned_accuracy,0.007685738684884714
9,server_eval,serverapp,poisoned_loss,4.412775893989126
9,server_eval,serverapp,attack_success_rate,0.002827521206409048
9,server_eval,serverapp,poisoned_examples,1171
10,train_agg,clientapp,train_loss,1.0836964006884613
10,eval_agg,clientapp,eval_loss,1.215904766504013
10,eval_agg,clientapp,eval_acc,0.5474262868565718
10,server_eval,serverapp,accuracy,0.5411
10,server_eval,serverapp,loss,1.2265461336208294
10,server_eval,serverapp,poisoned_accuracy,0.05038428693424424
10,server_eval,serverapp,poisoned_loss,4.417580425790189
10,server_eval,serverapp,attack_success_rate,0.0235626767200754
10,server_eval,serverapp,poisoned_examples,1171
11,train_agg,clientapp,train_loss,0.9946781192948347
11,eval_agg,clientapp,eval_loss,1.230047846206676
11,eval_agg,clientapp,eval_acc,0.5376311844077961
11,server_eval,serverapp,accuracy,0.5432
11,server_eval,serverapp,loss,1.2403675015968612
11,server_eval,serverapp,poisoned_accuracy,0.04867634500426986
11,server_eval,serverapp,poisoned_loss,4.564993187874225
11,server_eval,serverapp,attack_success_rate,0.020735155513666354
11,server_eval,serverapp,poisoned_examples,1171
12,train_agg,clientapp,train_loss,0.9372312486812613
12,eval_agg,clientapp,eval_loss,1.1118833355484292
12,eval_agg,clientapp,eval_acc,0.5952023988005997
12,server_eval,serverapp,accuracy,0.5953
12,server_eval,serverapp,loss,1.1177427323558662
